Nome,cargo,partido,estado,ocorrencia,descricao,status,processo
Ságuas Moraes,Deputado Federal,PT,MT,Crime Eleitoral,Foi multado por irregularidades em contrato firmado entre a Construtora Planecon Ltda. e a Secretaria de Educação do Mato Grosso.,Julgado,172/2012 - TCE-MT (http://www.tce.mt.gov.br/protocolo/decisao/num/149845/ano/2008/num_decisao/172/ano_decisao/2012/hash)
Ságuas Moraes,Deputado Federal,PT,MT,Crime Eleitoral,Foram detectadas irregularidades em contrato firmado entre a empresa Brasília Serviços de Informática Ltda. a Secretaria de Educação do Mato Grosso.,Julgado,301/2012 - TCE-MT (http://www.tce.mt.gov.br/protocolo/decisao/num/20931/ano/2008/num_decisao/301/ano_decisao/2012/hash/)
Ságuas Moraes,Deputado Federal,PT,MT,Crime Eleitoral,"Foi multado em representação formulada pela Secretaria de Controle Externo de Obras e Serviços de Engenharia devido ao não atendimento de requisitos mínimos de salubridade, acessibilidade e segurança em escola estadual. O parlamentar interpos recurso, mas a decisão foi mantida",Julgado,732/2012 - TCE-MT (http://www.tce.mt.gov.br/protocolo/decisao/num/53163/ano/2012/num_decisao/732/ano_decisao/2012/hash/)
Ságuas Moraes,Deputado Federal,PT,MT,Crime Eleitoral,Foi multado por irregularidades em convênio da Secretaria de Educação com o município de Primavera do Leste.,Julgado,732/2012 - TCE-MT (http://www.tce.mt.gov.br/processo/decisao/num/77836/ano/2007/num_decisao/314/ano_decisao/2010)
Ságuas Moraes,Deputado Federal,PT,MT,Crime Eleitoral,Foi multado por irregularidades em execução de obras em escola estadual de Tangará da Serra.,Julgado,2029/2008 - TCE-MT (http://www.tce.mt.gov.br/protocolo/decisao/num/109819/ano/2008/num_decisao/2029/ano_decisao/2008/has)
Ságuas Moraes,Deputado Federal,PT,MT,Crime Eleitoral,Foram detectadas irregularidades em processo licitatório celebrado pela Secretaria de Educação do Mato Grosso.,Julgado,721/2008 - TCE-MT (http://www.tce.mt.gov.br/protocolo/decisao/num/12327/ano/2008/num_decisao/721/ano_decisao/2008/hash/)
Sérgio Reis,Deputado Federal,PRB,SP,Crime Eleitoral,"Teve desaprovada a prestação de contas das eleições de 2014 para deputado federal, sendo condenado a restituir R$ 300 mil ao diretório estadual do partido e R$ 1 mil aos cofres públicos. O parlamentar recorreu e reverteu a decisão apenas quanto à restituição de valores à sigla:",Julgado,0005772-24.2014.6.26.0000 - STJ (http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=164512015&comboTribunal=tse)
Sérgio Petecão,Senador,PSD,AC,Peculato,Crime de peculato,Em andamento,542 - STF (http://portal.stf.jus.br/processos/detalhe.asp?incidente=3916080)
Sérgio Petecão,Senador,PSD,AC,Crime Eleitoral,Crimes Eleitorais,Em andamento,880 - STF (http://portal.stf.jus.br/processos/detalhe.asp?incidente=4612183)
Sérgio Petecão,Senador,PSD,AC,Peculato,Crime de peculato,Em andamento,3851 - STF (http://portal.stf.jus.br/processos/detalhe.asp?incidente=4567386)
Sérgio Petecão,Senador,PSD,AC,Crime Eleitoral,Crimes Eleitorais,Em andamento,3598 - STF (http://portal.stf.jus.br/processos/detalhe.asp?incidente=4357081)
Sergio Souza ,Deputado Federal,MDB,PR,Improbidade Administrativa,"É réu em ação civil de Improbidade Administrativa com Dano ao Erário, movida pelo Ministério Público Estadual, referente a irregularidades e fraudes em licitação.",Em andamento,0021562-97.2013.8.16.0031 - TJ-PR (https://projudi.tjpr.jus.br/projudi_consulta/)
Sérgio Moraes,Deputado Federal,PTB,RS,Improbidade Administrativa,Condenado por Improbidade Administrativa a pagar multa civil e a ressarcir os cofres municipais das quantias gastas com publicidade para promoção pessoal. Mantida condenação em segunda e terceira instâncias,Julgado,0035631-87.2008.8.21.0026 - TJ-RS - Comarca de Santa Cruz do Sul (http://www3.tjrs.jus.br/site_php/consulta/consulta_processo.php?tipo=1&nome_comarca=Santa%20Cruz%20d)
Sérgio Moraes,Deputado Federal,PTB,RS,Improbidade Administrativa,"Condenado por Improbidade Administrativa a suspensão dos direitos políticos e perda da função pública. O parlamentar recorreu em terceira instância, mas a decisão foi mantida",Julgado,0016291-36.2003.8.21.0026 - TJ-RS - Comarca de Santa Cruz do Sul (http://www3.tjrs.jus.br/site_php/consulta/consulta_processo.php?id_comarca=santa_cruz_sul&num_proces)
Sérgio Moraes,Deputado Federal,PTB,RS,Agressão Física,Condenado a pagar indenização a ex-vereador por agressões físicas.,Julgado,0012371-20.2004.8.21.0026 - TJ-RS - Comarca de Santa Cruz do Sul (http://www1.tjrs.jus.br/site_php/consulta/consulta_processo.php?id_comarca=santa_cruz_sul&num_proces)
Sérgio Moraes,Deputado Federal,PTB,RS,Crime Eleitoral,"Teve rejeitadas as contas eleitorais referentes à campanha de 2014. O parlamentar recorreu, mas decisão foi mantida",Julgado,0001425-83.2014.6.21.0000 - TRE-RS (http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=420552014&comboTribunal=rs)
Major Olimpio,Deputado Federal,PSL,SP,Crime Eleitoral,"Teve reprovada a prestação de contas referente às eleições de 2006. Recorreu, mas decisão foi mantida",Julgado,0040314-49.2006.6.26.0000 - TRE - SP (http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=3027042006&comboTribunal=sp)
Shéridan,Deputado Federal,PSDB,RR,Crime Eleitoral,"É alvo de inquérito que apura crimes eleitorais. De acordo com a de denúncia, a parlamentar ofereceu vantagens, formulando propostas de pagamento de multas de trânsito e incluindo eleitores em programas sociais do governo, entre outras dádivas, em troca de votos em José de Anchieta Júnior, então candidato à reeleição para o mandato de governador em 2010.",Em andamento,3975/2015 - STF (http://portal.stf.jus.br/processos/detalhe.asp?incidente=4725152)
Shéridan,Deputado Federal,PSDB,RR,Dano ao Erário,"É alvo de ação civil de Improbidade Administrativa (Dano ao Erário) por titulação irregular de terras públicas em beneficio próprio, quando secretária estadual. Ação também envolve seu marido, ex-governador de Roraima, Jose de Anchieta Junior.",Em andamento,0827962-31.2014.8.23.0010 - TJ-RR - Comarca de Boa Vista (https://projudi.tjrr.jus.br/projudi/processo.do?actionType=visualizar&id=1020148279622)
Shéridan,Deputado Federal,PSDB,RR,Apropriação Indébita,"Apuração de uso da estrutura pública para fins particulares. De acordo com a denúncia, uma aeronave pertencente ao governo teria sido utilizada para transportar o MC Sapão, contratado para cantar na festa de aniversário da parlamentar, durante o período em que seu marido, José de Anchieta Junior (PSDB), era governador do estado.",Em andamento,0836244-24.2015.8.23.0010 - TJ-RR - Comarca de Boa Vista (https://projudi.tjrr.jus.br/projudi/processo.do?actionType=visualizar&id=1020158362441)
Silas Câmara,Deputado Federal,PRB,AM,Falsificação de documento público,Foi condenado em ação penal que investigava falsificação de documento público.,Julgado,579/2011 - STF (http://portal.stf.jus.br/processos/detalhe.asp?incidente=4047087)
Silas Câmara,Deputado Federal,PRB,AM,Improbidade Administrativa,É alvo de ação penal que apura Improbidade Administrativa.,Em andamento,864/2013 - STF (http://portal.stf.jus.br/processos/detalhe.asp?incidente=4513165)
Silas Câmara,Deputado Federal,PRB,AM,Dano ao Erário,"É condenado em ação civil de Improbidade Administrativa com Dano ao Erário junto com a ex-deputada Antônia Lúcia, sua esposa. O parlamentar foi acusado de ceder seu aparelho celular habilitado para fins parlamentares a Antônia Lúcia, que o utilizou para fins privados, incluindo sua candidatura ao cargo de deputada federal no pleito de 2010.",Julgado,0002397-34.2013.4.01.3000 - TRF1 (https://processual.trf1.jus.br/consultaProcessual/processo.php?proc=23973420134013000&secao=AC&nome=)
Silas Câmara,Deputado Federal,PRB,AM,Crime Eleitoral,"O PTB teve reprovada a prestação de contas referente ao exercício financeiro de 2004, quando o parlamentar era ordenador de despesas do partido em nível estadual. Houve recurso, mas decisão foi mantida.",Julgado,0732039-19.2005.6.04.0000 - TRE-AM (http://www.tre-am.jus.br/@@processrequest)
Silvio Torres ,Deputado Federal,PSDB,SP,Crime Eleitoral,"O parlamentar teve reprovada as contas referentes às eleições de 2002. Ele recorreu da decisão no próprio TRE, mas ela foi mantida.",Julgado,8176682-00.2626.0000 - TRE-SP (http://www.tse.jus.br/sadJudSadpPush/ExibirDadosProcesso.do?nprot=3076702002&comboTribunal=sp)
Silvio Torres ,Deputado Federal,PSDB,SP,Crime Eleitoral,"O parlamentar teve reprovada as contas referentes às eleições de 2006. Ele recorreu da decisão, que foi mantida",Julgado,3164326-20.0760.00000 - TRE-SP (http://www.tse.jus.br/sadJudSadpPush/ExibirDadosProcesso.do?nprot=3030762006&comboTribunal=sp)
Silvio Torres ,Deputado Federal,PSDB,SP,Crime contra a Lei de Licitações,Irregularidade em concorrência e contrato para execução de obras de engenharia. Foi multado.,Julgado,21789/026/10 - TCE-SP (http://www2.tce.sp.gov.br/arqs_juri/pdf/458827.pdf)
Silvio Torres ,Deputado Federal,PSDB,SP,Crime contra a Lei de Licitações,"Irregularidade em concorrência e contrato para execução de obras de engenharia. Recorreu, mas decisão foi mantida:",Julgado,018017/026/09 - TCE-SP (http://www2.tce.sp.gov.br/arqs_juri/pdf/429803.pdf)
Simone Morgado,Deputado Federal,MDB,PA,Improbidade Administrativa,"É ré em ação civil pública por atos de Improbidade Administrativa com Enriquecimento Ilícito ajuizada pelo Ministério Público Estadual. A parlamentar é acusada de contratar funcionária para cargo comissionado e atestar sua frequência para meses em que esteve ausente, embora continuasse a ser remunerada",Em andamento,0032374-92.2011.8.14.0301 - TJ-PA - Comarca de Belém (https://consultas.tjpa.jus.br/consultaprocessoportal/consulta/principal#)
Simone Morgado,Deputado Federal,MDB,PA,Crime Eleitoral,"Enquanto presidenta do diretório municipal do PMBD em Bragança (PA), teve as contas do exercício de 2003 julgadas irregulares.",Julgado,0002016-79.2010.6.14.0000 - TRE-PA (http://inter03.tse.jus.br/sadpPush/ExibirPartesProcessoJud.do)
Dr. Sinval Malheiros ,Deputado Federal,PODE,SP,Crime Eleitoral,Prestação de contas das eleições de 2010 para deputado federal.,Contas reprovadas. Recorreu mas decisão foi mantida.,0010746-46.2010.6.26.0000 - TRE-SP (http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=1044182010&comboTribunal=sp)
Dr. Sinval Malheiros,Deputado Federal,PODE,SP,Crime Eleitoral,Prestação de contas das eleições de 2010 para deputado federal.,Contas reprovadas. Recorreu mas decisão foi mantida.,0010746-46.2010.6.26.0000 - TSE (http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=51082011&comboTribunal=tse)
Raquel Muniz,Deputado Federal,PSD,MG,Falsidade ideológica,A parlamentar é investigada pelo crime de falsidade ideológica,Em andamento,4137/2015 - STF (http://portal.stf.jus.br/processos/detalhe.asp?incidente=4857810)
Raquel Muniz,Deputado Federal,PSD,MG,Crime fiscal,A parlamentar e o marido usaram de seus cargos para promover os próprios interesses empresariais junto a auditores fiscais da Receita Federal.,Julgado,0009290-74.2015.4.01.3807 - TRF-1 (https://processual.trf1.jus.br/consultaProcessual/processo.php?proc=92907420154013807&secao=MCL)
Raquel Muniz ,Deputado Federal,PSD,MG,Enriquecimento Ilícito,É acusada de Enriquecimento Ilícito por meio de convênio com o Ministério da Saúde.,Em andamento,0007306-26.2013.4.01.3807 - TRF-1 (https://processual.trf1.jus.br/consultaProcessual/processo.php?trf1_captcha_id=d5045de508d64c8fd52f9)
Raquel Muniz ,Deputado Federal,PSD,MG,Apropriação Indébita ,"Segundo investigação, utilizando-se da condição do Cargo de Chefe de Gabinete do Prefeito, a parlamentar planejou e executou um esquema fraudulento que resultou na apropriação ilícita.",Em andamento,0001259-31.2016.4.01.3807 - TRF-1 (https://processual.trf1.jus.br/consultaProcessual/processo.php?proc=12593120164013807&secao=MCL&nome)
Raquel Muniz ,Deputado Federal,PSD,MG,Dano ao Erário,"A parlamentar e seu marido são réus em ação por Improbidade Administrativa com Dano ao Erário, referente a mau uso de verbas públicas destinadas a uma de suas empresas, a FUNORTE.",Em andamento,0131195-87.2010.8.13.0433 - TJ-MG - Comarca de Montes Claros (http://www4.tjmg.jus.br/juridico/sf/proc_complemento.jsp?comrCodigo=433&numero=1&listaProcessos=1001)
Thiago Peixoto,Deputado Federal,PSD,GO,Falsidade ideológica,É denunciado pela prática do crime de falsidade ideológica eleitoral e de uso de documento falso eleitoral.,Em andamento,4343/2016 - STF (http://portal.stf.jus.br/processos/detalhe.asp?incidente=5090572)
Thiago Peixoto,Deputado Federal,PSD,GO,Crime Eleitoral,Teve rejeitada prestação de contas referente às eleições de 2006. O parlamentar teve negado recurso no TSE,Julgado,9994462-97.2006.6.09.0000 - TRE-GO (http://www.tre-go.jus.br/@@processrequest)
Rossoni,Deputado Federal,PSDB,PR,Ocultação de bens,O parlamentar é investigado por crimes de ocultação de bens,Em andamento,4306/2017 - STF (http://portal.stf.jus.br/processos/detalhe.asp?incidente=5040488)
Rossoni,Deputado Federal,PSDB,PR,Dano Ambiental,O parlamentar é investigado por crimes contra o meio ambiente,Em andamento,4156/2015 - STF (http://portal.stf.jus.br/processos/detalhe.asp?incidente=4881084)
Rossoni,Deputado Federal,PSDB,PR,Crime contra a Lei de Licitações,O parlamentar é investigado por Crime contra a Lei de Licitações,Em andamento,4666/2018 - STF (http://portal.stf.jus.br/processos/detalhe.asp?incidente=5339083)
Rossoni,Deputado Federal,PSDB,PR,Improbidade Administrativa,O parlamentar é Réu em ação movida pelo Ministério Público do Paraná. A ação diz respeito ao crime de Improbidade Administrativa.,Em andamento,0001257-31.2016.8.16.0179 - TJ-PR (https://projudi.tjpr.jus.br/projudi_consulta/processo/consultaPublica.do?_tj=8a6c53f8698c7ff76db3047)
Rossoni,Deputado Federal,PSDB,PR,Improbidade Administrativa,O parlamentar é Réu em ação movida pelo Ministério Público do Paraná. A ação diz respeito ao crime de Improbidade Administrativa.,Em andamento,0003007-11.2016.8.16.0004 - TJ-PR (https://projudi.tjpr.jus.br/projudi_consulta/processo/consultaPublica.do?_tj=8a6c53f8698c7ff76db3047)
Rossoni,Deputado Federal,PSDB,PR,Improbidade Administrativa,O parlamentar é Réu em ação movida pelo Ministério Público do Paraná. A ação diz respeito ao crime de Improbidade Administrativa.,Em andamento,0003035-02.2017.8.16.0179 - TJ-PR (https://projudi.tjpr.jus.br/projudi_consulta/processo/consultaPublica.do?_tj=8a6c53f8698c7ff76db3047)
Valdir Raupp,Senador,MDB,RO,Peculato,Crime de Peculato,Em andamento,358 - STF (http://portal.stf.jus.br/processos/detalhe.asp?incidente=2177621)
Valdir Raupp,Senador,MDB,RO,Obtenção de vantagem indevida,"Segundo o Ministério Público, relatam os colaboradores o pagamento de vantagens indevidas em favor de funcionários de FURNAS.",Em andamento,4433 - STF (http://portal.stf.jus.br/processos/detalhe.asp?incidente=5149806)
Valdir Raupp,Senador,MDB,RO,Crimes contra o Sistema Financeiro Nacional,Crimes contra o Sistema Financeiro Nacional,Em andamento,383 -STF (http://portal.stf.jus.br/processos/detalhe.asp?incidente=2251870)
Valdir Raupp,Senador,MDB,RO,Lavagem de Dinheiro,Corrupção Passiva e Lavagem de Dinheiro,Em andamento,1015 - STF (http://portal.stf.jus.br/processos/detalhe.asp?incidente=5219077)
Valdir Raupp,Senador,MDB,RO,Corrupção Passiva,"Corrupção Passiva, Lavagem de Dinheiro",Em andamento,4215 - STF (http://portal.stf.jus.br/processos/detalhe.asp?incidente=4952613)
Valdir Raupp,Senador,MDB,RO,Crime de Responsabilidade,Pedido de anulação de Acórdão do Tribunal de Contas,Findo- Não admitido,1200447 - STJ (https://ww2.stj.jus.br/processo/pesquisa/?tipoPesquisa=tipoPesquisaNumeroRegistro&termo=201001215239)
Valmir Prascidelli,Deputado Federal,PT,SP,Crime contra a Lei de Licitações,"Foi multado pelo TCU por irregularidades, nas contas referentes ao ano de 2005, em processo de licitação quando era presidente do CEAGESP. O parlamentar interpôs recurso, que foi improvido: TCU - Acórdão nº 3034/2009. Ainda tentou anular a decisão do TCU na Justiça Federal, porém tanto a 1ª e quanto a 2ª instância a manteve: TRF-3 - Seção Judiciária de São Paulo - Processo nº 0014219-80.2010.4.03.6100 e TRF-3 - Apelação nº 0014219-80.2010.4.03.6100.",Julgado,1727/2008 - TCU (http://www.tcu.gov.br/Consultas/Juris/Docs/judoc/Acord/20080620/019-170-2006-4-BZ.doc)
Valmir Prascidelli,Deputado Federal,PT,SP,Desvio de Dinheiro,"Irregularidade em transferência de recurso do Fundo Municipal de Direitos da Criança e do Adolescente. A Prefeitura recorreu, mas decisão foi mantida.",Julgado,14714/026/08 - TCE-SP (http://www2.tce.sp.gov.br/arqs_juri/pdf/243732.pdf)
Valmir Prascidelli,Deputado Federal,PT,SP,Crime contra a Lei de Licitações,"Irregularidades em convênios, termos de aditamento e prestações de contas referentes a repasse do Fundo Municipal de Direitos da Criança e do Adolescente a associação do terceiro setor para a construção de centro esportivo.",Julgado,"6483/026/09, 9043/026/09, 16463/026/10 e 16464/026/10 - TCE-SP (http://www2.tce.sp.gov.br/arqs_juri/pdf/521571.pdf)"
Valmir Prascidelli,Deputado Federal,PT,SP,Crime contra a Lei de Licitações,"Irregularidade em convênio para desenvolvimento de atividade esportiva. A prefeitura recorreu, mas decisão foi mantida: TCE-SP - Recurso ordinário nº 42361/026/08.",Julgado,42361/026/08 - TCE-SP (http://www2.tce.sp.gov.br/arqs_juri/pdf/464459.pdf)
Valmir Prascidelli,Deputado Federal,PT,SP,Crime Eleitoral,"O TCE-SP julgou irregular a prestação de contas de 2001 da Companhia Pública Municipal Pró-Habitação de Embu, quando o parlamentar exercia o cargo de diretor-presidente. Recorreu, revertendo a decisão apenas quanto à necessidade de ressarcimento.",Julgado,2276/026/01 - TCE-SP (http://www2.tce.sp.gov.br/arqs_juri/pdf/319800.pdf)
